Id,Name,Person_To,Date,Time,Message,Said_Yes,Said_No
22,Jacob Sears,All Participants,"February 22, 2021",9:01:57 AM,I can see it,0,0
23,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:01:59 AM,see the screen,0,0
24,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:02:56 AM,umm I don't take the best notes...,0,0
25,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:03:03 AM,but if no one else wants to,0,1
26,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:03:13 AM,ok,0,0
27,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:03:14 AM,I believe in you,0,0
28,Neeraj k,All Participants,"February 22, 2021",9:03:15 AM,https://docs.google.com/document/d/1j0CdWe0DqxgttwaJtWmUOdSOcv3t7Z3zXLTW5QgQ0fw/edit,0,0
29,Sarah Jiang,All Participants,"February 22, 2021",9:04:08 AM,yes,1,0
30,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:04:09 AM,yes,1,0
31,Aaron Alvarez,All Participants,"February 22, 2021",9:04:11 AM,yes,1,0
32,Hamza Waseem,All Participants,"February 22, 2021",9:04:12 AM,yes,1,0
33,Marc Larock,All Participants,"February 22, 2021",9:04:14 AM,looks good to me,0,0
34,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:04:16 AM,yes,1,0
35,Abtin Khodadadi,All Participants,"February 22, 2021",9:04:28 AM,yes,1,0
36,Rain Sung,All Participants,"February 22, 2021",9:09:25 AM,yes,1,0
37,Sidharth M,All Participants,"February 22, 2021",9:09:26 AM,"@Hamza, Hi, can i login to your VM and check that now.",0,0
38,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:09:27 AM,yes,1,0
39,Aaron Alvarez,All Participants,"February 22, 2021",9:09:28 AM,yes,1,0
40,Hamza Waseem,All Participants,"February 22, 2021",9:09:31 AM,yes,1,0
41,Jacob Sears,All Participants,"February 22, 2021",9:09:32 AM,yes,1,0
42,Wayne Tam,All Participants,"February 22, 2021",9:09:39 AM,yes,1,0
43,Sarah Jiang,All Participants,"February 22, 2021",9:09:44 AM,yes,1,0
44,Marc Larock,All Participants,"February 22, 2021",9:09:52 AM,go it,0,0
45,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:09:52 AM,i am read,0,0
46,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:10:18 AM,yes,1,0
47,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:12:25 AM,yes,1,0
48,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:12:39 AM,"essentially makes a hash map for key, value",0,0
49,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:12:41 AM,?,0,0
50,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:12:41 AM,the map function takes each function and applies it to each object in an interable,0,0
51,Abtin Khodadadi,All Participants,"February 22, 2021",9:12:53 AM,can apply a function on an iteratable.,0,0
52,Abtin Khodadadi,All Participants,"February 22, 2021",9:16:30 AM,*iterable,0,0
53,Marc Larock,All Participants,"February 22, 2021",9:17:07 AM,yes,1,0
54,Aaron Alvarez,All Participants,"February 22, 2021",9:17:10 AM,yes,1,0
55,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:17:10 AM,yes,1,0
56,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:17:11 AM,yes,1,0
57,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:17:11 AM,yes,1,0
58,Hamza Waseem,All Participants,"February 22, 2021",9:17:11 AM,yes,1,0
59,Jacob Sears,All Participants,"February 22, 2021",9:17:13 AM,"yes, got it",0,0
60,Aaron Alvarez,All Participants,"February 22, 2021",9:18:23 AM,yes,1,0
61,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:18:24 AM,yes,1,0
62,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:18:24 AM,yes,1,0
63,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:18:24 AM,yes,1,0
64,Hamza Waseem,All Participants,"February 22, 2021",9:18:25 AM,yes,1,0
65,Jacob Sears,All Participants,"February 22, 2021",9:18:26 AM,yes,1,0
66,Marc Larock,All Participants,"February 22, 2021",9:18:26 AM,sure,0,0
67,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:18:42 AM,yes,1,0
68,Marc Larock,All Participants,"February 22, 2021",9:18:42 AM,yes,1,0
69,Aaron Alvarez,All Participants,"February 22, 2021",9:18:44 AM,yes,1,0
70,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:19:27 AM,in spyder?,0,0
71,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:19:32 AM,it is open,0,0
72,Hamza Waseem,All Participants,"February 22, 2021",9:19:41 AM,opened,0,0
73,Rain Sung,All Participants,"February 22, 2021",9:19:50 AM,open,0,0
74,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:20:08 AM,yes,1,0
75,Hamza Waseem,All Participants,"February 22, 2021",9:20:10 AM,yes,1,0
76,Marc Larock,All Participants,"February 22, 2021",9:21:59 AM,yep,0,0
77,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:21:59 AM,yes,1,0
78,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:22:01 AM,yes,1,0
79,Jacob Sears,All Participants,"February 22, 2021",9:22:02 AM,yes,1,0
80,Aaron Alvarez,All Participants,"February 22, 2021",9:22:57 AM,yes,1,0
81,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:22:59 AM,yes,1,0
82,Rain Sung,All Participants,"February 22, 2021",9:23:00 AM,yes,1,0
83,Hamza Waseem,All Participants,"February 22, 2021",9:23:00 AM,yes,1,0
84,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:23:05 AM,yes,1,0
85,Jacob Sears,All Participants,"February 22, 2021",9:23:11 AM,yes,1,0
86,Wayne Tam,All Participants,"February 22, 2021",9:23:14 AM,tes,0,0
87,Marc Larock,All Participants,"February 22, 2021",9:23:14 AM,yes,1,0
88,Aaron Alvarez,All Participants,"February 22, 2021",9:24:39 AM,yes,1,0
89,Marc Larock,All Participants,"February 22, 2021",9:24:40 AM,got it,0,0
90,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:24:40 AM,yes,1,0
91,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:24:40 AM,yes,1,0
92,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:24:42 AM,yes,1,0
93,Wayne Tam,All Participants,"February 22, 2021",9:24:43 AM,yes,1,0
94,Hamza Waseem,All Participants,"February 22, 2021",9:24:44 AM,yes,1,0
95,Jacob Sears,All Participants,"February 22, 2021",9:24:46 AM,yes,1,0
96,Abtin Khodadadi,All Participants,"February 22, 2021",9:24:49 AM,yes,1,0
97,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:26:37 AM,done,0,0
98,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:26:42 AM,yes,1,0
99,Aaron Alvarez,All Participants,"February 22, 2021",9:26:42 AM,yes,1,0
100,Sarah Jiang,All Participants,"February 22, 2021",9:26:44 AM,yes,1,0
101,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:26:48 AM,yes,1,0
102,Hamza Waseem,All Participants,"February 22, 2021",9:26:50 AM,yes,1,0
103,Jacob Sears,All Participants,"February 22, 2021",9:26:52 AM,yep,0,0
104,Marc Larock,All Participants,"February 22, 2021",9:26:55 AM,yes,1,0
105,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:28:36 AM,yes,1,0
106,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:28:51 AM,yes,1,0
107,Aaron Alvarez,All Participants,"February 22, 2021",9:28:55 AM,yes,1,0
108,Marc Larock,All Participants,"February 22, 2021",9:29:00 AM,understoof,0,0
109,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:29:01 AM,understanding,0,0
110,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:29:02 AM,understanding,0,0
111,Aaron Alvarez,All Participants,"February 22, 2021",9:29:02 AM,understanding,0,0
112,Hamza Waseem,All Participants,"February 22, 2021",9:29:03 AM,understanding,0,0
113,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:32:06 AM,yes,1,0
114,Marc Larock,All Participants,"February 22, 2021",9:32:07 AM,sure,0,0
115,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:32:09 AM,yes,1,0
116,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:32:09 AM,yes,1,0
117,Aaron Alvarez,All Participants,"February 22, 2021",9:32:10 AM,yes,1,0
118,Hamza Waseem,All Participants,"February 22, 2021",9:32:10 AM,yes,1,0
119,Jacob Sears,All Participants,"February 22, 2021",9:32:13 AM,yep,0,0
120,Marc Larock,All Participants,"February 22, 2021",9:33:56 AM,acton,0,0
121,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:34:14 AM,yes,1,0
122,Marc Larock,All Participants,"February 22, 2021",9:34:15 AM,yep,0,0
123,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:34:15 AM,kind of,0,0
124,Jacob Sears,All Participants,"February 22, 2021",9:34:22 AM,"yes, I remember",0,0
125,Aaron Alvarez,All Participants,"February 22, 2021",9:35:33 AM,yes,1,0
126,Marc Larock,All Participants,"February 22, 2021",9:35:34 AM,yes,1,0
127,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:35:35 AM,yes,1,0
128,Hamza Waseem,All Participants,"February 22, 2021",9:35:35 AM,yes,1,0
129,Jacob Sears,All Participants,"February 22, 2021",9:35:37 AM,yep,0,0
130,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:36:04 AM,yes,1,0
131,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:36:12 AM,yes,1,0
132,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:37:08 AM,a lot of numbers in a list,0,0
133,Jacob Sears,All Participants,"February 22, 2021",9:37:37 AM,A very long list of numbers,0,0
134,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:37:45 AM,ratings.py,0,0
135,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:37:50 AM,some numbers in the files,0,0
136,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:37:54 AM,u.data,0,0
137,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:38:01 AM,ratings.py,0,0
138,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:38:23 AM,collect,0,0
139,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:38:28 AM,grab all the ratings,0,0
140,Hamza Waseem,All Participants,"February 22, 2021",9:38:35 AM,split the ratings,0,0
141,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:38:46 AM,yes,1,0
142,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:39:01 AM,"it only grabbed the third item in the file, correct?",0,0
143,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:39:05 AM,oh nvm,0,0
144,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:39:18 AM,yes,1,0
145,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:39:19 AM,yes,1,0
146,Aaron Alvarez,All Participants,"February 22, 2021",9:39:21 AM,yes,1,0
147,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:39:46 AM,yes,1,0
148,Aaron Alvarez,All Participants,"February 22, 2021",9:39:46 AM,yes,1,0
149,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:40:37 AM,yes,1,0
150,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:40:40 AM,yes,1,0
151,Aaron Alvarez,All Participants,"February 22, 2021",9:40:40 AM,yes,1,0
152,Marc Larock,All Participants,"February 22, 2021",9:40:40 AM,yes,1,0
153,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:40:41 AM,yes,1,0
154,Hamza Waseem,All Participants,"February 22, 2021",9:40:41 AM,yes,1,0
155,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:40:54 AM,I am getting an error,0,0
156,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:41:13 AM,while running it,0,0
157,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:42:03 AM,java.lang.IllegalArgumentException,0,0
158,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:42:12 AM,Okay,0,0
159,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:42:34 AM,yes,1,0
160,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:43:04 AM,solved,0,0
161,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:43:48 AM,yes,1,0
162,Aaron Alvarez,All Participants,"February 22, 2021",9:43:48 AM,yes,1,0
163,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:43:52 AM,yes,1,0
164,Hamza Waseem,All Participants,"February 22, 2021",9:43:53 AM,yes,1,0
165,Hamza Waseem,All Participants,"February 22, 2021",9:44:09 AM,dictionary,0,0
166,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:44:09 AM,dictionary,0,0
167,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:44:24 AM,yes,1,0
168,Leonardo A Lamboglia,All Participants,"February 22, 2021",9:44:39 AM,"I did countByKey and it did the same thing. Do these work the same way because we didnt actually create any (Key, Value) pairs?",0,0
169,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:46:31 AM,yes,1,0
170,Jacob Sears,All Participants,"February 22, 2021",9:46:54 AM,yes,1,0
171,Marc Larock,All Participants,"February 22, 2021",9:48:05 AM,can you pls take a look at mine. i got an error,0,0
172,Marc Larock,All Participants,"February 22, 2021",9:48:35 AM,logged out,0,0
173,Rain Sung,All Participants,"February 22, 2021",9:48:41 AM,I missed the last part,0,0
174,Rain Sung,All Participants,"February 22, 2021",9:48:45 AM,after for,0,0
175,Neeraj k,All Participants,"February 22, 2021",9:49:03 AM,sortedResult = collections.OrderedDict(sorted(result.items())),0,0
176,,,"for key, value in sortedResult.items():",,,,
177,,,"print(""%s %i"" %(key,value))",,,,
178,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:49:15 AM,mine is solved,0,0
179,Marc Larock,All Participants,"February 22, 2021",9:49:31 AM,07,0,0
180,Marc Larock,All Participants,"February 22, 2021",9:49:40 AM,logged out,0,0
181,Aaron Alvarez,All Participants,"February 22, 2021",9:49:54 AM,done,0,0
182,Hamza Waseem,All Participants,"February 22, 2021",9:49:55 AM,done,0,0
183,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",9:49:59 AM,done,0,0
184,Jacob Sears,All Participants,"February 22, 2021",9:50:02 AM,done as well,0,0
185,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:50:08 AM,done,0,0
186,Marc Larock,All Participants,"February 22, 2021",9:50:15 AM,i got a bunch of java lang warnings in the output,0,0
187,Marc Larock,All Participants,"February 22, 2021",9:51:20 AM,ooops ,0,0
188,Marc Larock,All Participants,"February 22, 2021",9:51:23 AM,sorry,0,0
189,Rain Sung,All Participants,"February 22, 2021",9:51:57 AM,i am also getting an error,0,0
190,Marc Larock,All Participants,"February 22, 2021",9:52:13 AM,thank you,0,0
191,Rain Sung,All Participants,"February 22, 2021",9:52:20 AM,09,0,0
192,Rain Sung,All Participants,"February 22, 2021",9:52:22 AM,logged out,0,0
193,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",9:55:01 AM,3 /// in reading textfile,0,0
194,Sidharth M,All Attendees,"February 22, 2021",10:08:00 AM,okay noted thanks,0,0
195,Hamza Waseem,All Participants,"February 22, 2021",10:08:17 AM,working fine,0,0
196,Aaron Alvarez,All Participants,"February 22, 2021",10:08:21 AM,yes,1,0
197,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",10:08:21 AM,yes,1,0
198,Abtin Khodadadi,All Participants,"February 22, 2021",10:08:22 AM,yes,1,0
199,Jacob Sears,All Participants,"February 22, 2021",10:08:22 AM,yes,1,0
200,Marc Larock,All Participants,"February 22, 2021",10:08:24 AM,working. thanks!,0,0
201,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:08:24 AM,yes,1,0
202,Sarah Jiang,All Participants,"February 22, 2021",10:08:24 AM,yes,1,0
203,Rain Sung,All Participants,"February 22, 2021",10:08:34 AM,should I wait until notified to be logged in?,0,0
204,Rain Sung,All Participants,"February 22, 2021",10:08:56 AM,ok thanks,0,0
205,Sidharth M,All Attendees,"February 22, 2021",10:09:44 AM,"Yes @Rain, i will restart machine and update you back.",1,0
206,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",10:10:58 AM,yes,1,0
207,Aaron Alvarez,All Participants,"February 22, 2021",10:11:09 AM,yes,1,0
208,Hamza Waseem,All Participants,"February 22, 2021",10:11:11 AM,yes,1,0
209,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:11:15 AM,y,0,0
210,Sarah Jiang,All Participants,"February 22, 2021",10:11:18 AM,yes,1,0
211,Marc Larock,All Participants,"February 22, 2021",10:11:36 AM,got it,0,0
212,Abtin Khodadadi,All Participants,"February 22, 2021",10:11:41 AM,yes,1,0
213,Jacob Sears,All Participants,"February 22, 2021",10:11:46 AM,yes,1,0
214,Sidharth M,All Attendees,"February 22, 2021",10:14:11 AM,"@Rain, your VM rebooted. please re-login",0,0
215,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:15:59 AM,yea,0,0
216,Marc Larock,All Participants,"February 22, 2021",10:16:11 AM,"i got it, i think.",0,0
217,Neeraj k,All Participants,"February 22, 2021",10:17:08 AM,"from pyspark import SparkContext, SparkConf",0,0
218,,,"conf = SparkConf().setMaster('local').setAppName(""WordCount"")",,,,
219,,,sc = SparkContext(conf = conf),,,,
220,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:17:12 AM,finished,0,0
221,Jacob Sears,All Participants,"February 22, 2021",10:17:19 AM,finished copying,0,0
222,Hamza Waseem,All Participants,"February 22, 2021",10:18:06 AM,yes,1,0
223,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:18:07 AM,yes,1,0
224,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",10:18:07 AM,yes,1,0
225,Abtin Khodadadi,All Participants,"February 22, 2021",10:18:09 AM,yes,1,0
226,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:18:10 AM,yes,1,0
227,Aaron Alvarez,All Participants,"February 22, 2021",10:18:14 AM,yes,1,0
228,Sarah Jiang,All Participants,"February 22, 2021",10:18:17 AM,yes,1,0
229,Marc Larock,All Participants,"February 22, 2021",10:18:20 AM,yes,1,0
230,Jacob Sears,All Participants,"February 22, 2021",10:18:33 AM,yes,1,0
231,Rain Sung,All Participants,"February 22, 2021",10:19:56 AM,it still isn't working after reboot,0,0
232,Neeraj k,All Participants,"February 22, 2021",10:20:19 AM,@Rain: Hold on,0,0
233,Neeraj k,All Participants,"February 22, 2021",10:20:22 AM,please,0,0
234,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:22:18 AM,f,0,0
235,Neeraj k,All Participants,"February 22, 2021",10:24:33 AM,"from pyspark import SparkContext, SparkConf",0,0
236,,,"conf = SparkConf().setMaster('local').setAppName(""WordCount"")",,,,
237,,,sc = SparkContext(conf = conf),,,,
238,,,"rddone = sc.textFile(""file:///sparkcourse/book.txt"")",,,,
239,,,words = rddone.flatMap(lambda x:x.split()),,,,
240,,,result= words.countByValue(),,,,
241,,,"for word, count in result.items():",,,,
242,,,"cleanword = word.encode('ascii','ignore')",,,,
243,,,if(cleanword):,,,,
244,,,"print(cleanword.decode()+"" "" + str(count))",,,,
245,Rain Sung,All Participants,"February 22, 2021",10:25:07 AM,09,0,0
246,Rain Sung,All Participants,"February 22, 2021",10:25:15 AM,done,0,0
247,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:25:27 AM,done,0,0
248,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",10:25:28 AM,done,0,0
249,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:25:41 AM,is it also printing out b'word' for everyone else,0,0
250,Jacob Sears,All Participants,"February 22, 2021",10:25:44 AM,done,0,0
251,Marc Larock,All Participants,"February 22, 2021",10:25:47 AM,finished,0,0
252,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:26:08 AM,yes @leo,1,0
253,Rain Sung,All Participants,"February 22, 2021",10:26:43 AM,rate file wasn't working,0,0
254,Rain Sung,All Participants,"February 22, 2021",10:27:01 AM,thank you,0,0
255,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:27:34 AM,yes,1,0
256,Marc Larock,All Participants,"February 22, 2021",10:27:37 AM,yes,1,0
257,Jacob Sears,All Participants,"February 22, 2021",10:27:42 AM,yes,1,0
258,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:30:29 AM,yes,1,0
259,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:30:33 AM,yes,1,0
260,Jacob Sears,All Participants,"February 22, 2021",10:30:37 AM,yep,0,0
261,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:31:45 AM,es,0,0
262,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:44:46 AM,yes,1,0
263,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:44:52 AM,got it,0,0
264,Wayne Tam,All Participants,"February 22, 2021",10:45:00 AM,yes,1,0
265,Sarah Jiang,All Participants,"February 22, 2021",10:45:04 AM,yes,1,0
266,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:46:05 AM,2 seconds was tinkering,0,0
267,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:46:10 AM,yes,1,0
268,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",10:47:05 AM,I'm on a different machine :/,0,0
269,Neeraj k,All Participants,"February 22, 2021",10:47:25 AM,https://docs.google.com/document/d/1j0CdWe0DqxgttwaJtWmUOdSOcv3t7Z3zXLTW5QgQ0fw/edit,0,0
270,Leonardo A Lamboglia,All Participants,"February 22, 2021",10:47:40 AM,"from pyspark import SparkContext, SparkConf",0,0
271,,,import collections,,,,
272,,,"conf = SparkConf().setMaster('local').setAppName(""RatingsPerMovie"")",,,,
273,,,sc = SparkContext(conf=conf),,,,
274,,,"rddtolines = sc.textFile(""u.data"")",,,,
275,,,"ratings = rddtolines.map(lambda x: (x.split()[1],x.split()[2]))",,,,
276,,,result = ratings.countByKey(),,,,
277,,,sortedResult = collections.OrderedDict(sorted(result.items())),,,,
278,,,"for key,balue in sortedResult.items():",,,,
279,,,"print( key, balue)",,,,
280,Marc Larock,All Participants,"February 22, 2021",11:03:12 AM,yes,1,0
281,Leonardo A Lamboglia,All Participants,"February 22, 2021",11:03:13 AM,yes,1,0
282,Aaron Alvarez,All Participants,"February 22, 2021",11:03:16 AM,yes,1,0
283,Hamza Waseem,All Participants,"February 22, 2021",11:03:17 AM,yes,1,0
284,Sarah Jiang,All Participants,"February 22, 2021",11:03:17 AM,yes,1,0
285,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",11:03:17 AM,yes,1,0
286,Rain Sung,All Participants,"February 22, 2021",11:03:24 AM,yes,1,0
287,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",11:04:04 AM,yes,1,0
288,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",11:04:06 AM,yes,1,0
289,Leonardo A Lamboglia,All Participants,"February 22, 2021",11:04:09 AM,yes,1,0
290,Marc Larock,All Participants,"February 22, 2021",11:04:39 AM,got it,0,0
291,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",11:10:09 AM,yes,1,0
292,Marc Larock,All Participants,"February 22, 2021",11:11:45 AM,sure,0,0
293,Jacob Sears,All Participants,"February 22, 2021",11:11:51 AM,makes sense,0,0
294,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",11:12:45 AM,"if there is no multiple keys, does reduce do essentially nothing (if function does nothing)?",0,1
295,Jacob Sears,All Participants,"February 22, 2021",11:12:48 AM,yep,0,0
296,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",11:12:49 AM,yes,1,0
297,Aaron Alvarez,All Participants,"February 22, 2021",11:12:53 AM,yes,1,0
298,Hamza Waseem,All Participants,"February 22, 2021",11:13:02 AM,yes,1,0
299,Abtin Khodadadi,All Participants,"February 22, 2021",11:13:07 AM,yes,1,0
300,Marc Larock,All Participants,"February 22, 2021",11:13:08 AM,yes,1,0
301,Sarah Jiang,All Participants,"February 22, 2021",11:13:13 AM,yes,1,0
302,Neeraj k,All Participants,"February 22, 2021",11:13:15 AM,"from pyspark import SparkContext, SparkConf",0,0
303,,,"conf = SparkConf().setMaster('local').setAppName(""WordCount"")",,,,
304,,,sc = SparkContext(conf = conf),,,,
305,Marc Larock,All Participants,"February 22, 2021",11:13:53 AM,yes,1,0
306,Aaron Alvarez,All Participants,"February 22, 2021",11:13:53 AM,yes,1,0
307,Arpit Hasmukhbhai Patel,All Participants,"February 22, 2021",11:13:54 AM,yes,1,0
308,Jacob Sears,All Participants,"February 22, 2021",11:13:56 AM,yep,0,0
309,Sarah Jiang,All Participants,"February 22, 2021",11:13:56 AM,yes,1,0
310,Leonardo A Lamboglia,All Participants,"February 22, 2021",11:14:52 AM,Sparck,0,0
311,Leonardo A Lamboglia,All Participants,"February 22, 2021",11:16:22 AM,s,0,0
312,Marc Larock,All Participants,"February 22, 2021",11:16:25 AM,looks god,0,0
313,Marc Larock,All Participants,"February 22, 2021",11:16:36 AM,*good,0,0
314,Hamza Waseem,All Participants,"February 22, 2021",11:20:06 AM,yes,1,0
315,Marc Larock,All Participants,"February 22, 2021",11:20:10 AM,yes,1,0
316,Rain Sung,All Participants,"February 22, 2021",11:20:11 AM,yes,1,0
317,Miguel Angel Garza Robledo,All Participants,"February 22, 2021",11:20:12 AM,yes,1,0
